DisNo,ImpactID,Historic,Classification_Key,Disaster_Group,Disaster_Subgroup,Disaster_Type,Disaster_Subtype,Event_Name,OFDA_BHA_Response,Appeal,Declaration,Origin,Associated_Types,Magnitude,Magnitude_Scale,Start_Date,End_Date,duration
2016-0264-USA,925c16a7fbc32c5f445e7332643a9581,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,Sand Fire,No,No,No,Drought,,,Km2,2016-07-24,2016-08-01,8
2016-0292-USA,a644825b478d1989e5c80a1c3e3fc40e,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,No,No,Yes,Heavy rains,,19554.02,Km2,2016-08-09,2016-08-16,7
2016-0297-USA,57f9b6a5d04ea523672781f47077051f,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,Clayton Fire,No,No,No,,,,Km2,2016-08-13,2016-08-16,3
2016-0322-USA,f983c08a6a3be1caadca3477b4e8baeb,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Hurricane Hermine,No,No,No,,Flood|Surge,85.0,Kph,2016-09-01,2016-09-06,5
2016-0331-USA,7f57728f91da259792880e6549b96c8a,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,No,No,Yes,Excessive rains and thunderstorms,"Slide (land, mud, snow, rock)",,Km2,2016-09-19,2016-09-23,4
2016-0355-USA,13873dc5df87944447473d6372baf43d,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Hurricane 'Matthew',No,No,No,,Flood,,Kph,2016-10-08,2016-10-12,4
2016-0477-USA,a2229c963c674d7f5ec97384fd951f14,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,No,,Hail,,Kph,2016-11-26,2016-12-01,5
2016-0493-USA,672d9207926ad3ce52a32f4d5fe573b9,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,No,No,No,,,5.0,Moment Magnitude,2016-11-07,2016-11-07,0
2016-0521-USA,2e74f5d583efcd93e4f7f2a7643c3be2,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,No,,Cold wave,,Kph,2016-12-13,2016-12-19,6
2016-0550-USA,7085dfd45915391ccf86586862f8a69a,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,No,No,No,,,,Kph,2016-04-24,2017-04-28,369
2016-0552-USA,e06e04bb222ccdc55aca860689a2e860,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,No,No,Yes,,,,Km2,2016-03-08,2016-03-13,5
2017-0022-USA,ef7d90d8e476c3dcb7e82823c0fa4f0d,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,Yes,,,,Kph,2017-01-18,2017-01-23,5
2017-0039-USA,dc2674fc8a73882a8f3bb2d4c1a27d6e,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,No,,"Flood|Slide (land, mud, snow, rock)",,Kph,2017-01-06,2017-01-13,7
2017-0058-USA,be163e749744e3d857c18c33071e29d0,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,No,No,No,Heavy rains,,,Km2,2017-02-22,2017-02-22,0
2017-0062-USA,bd614c758a99485511c162f2395c920a,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,No,No,No,,"Flood|Slide (land, mud, snow, rock)",,Kph,2017-02-08,2017-02-21,13
2017-0070-USA,b311bbef7bd6e4d1e9135b5d0cbd8f23,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,Hail|Lightening,,Kph,2017-02-27,2017-03-02,3
2017-0108-USA,6e21ac2d03806ef42e57ba151076b423,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,No,,,,Kph,2017-03-13,2017-03-15,2
2017-0126-CAN,027d94c81aef10eba7cb57e9e94ba8ba,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,Yes,No,Yes,Snowmelt and Heavy Rain,,79149.2,Km2,2017-05-05,2017-05-20,15
